Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,573606,594945,616908,639415,662379,685672,709101,728147,744498,762591,781066,800005,819198
"Population, total",SP.POP.TOTL,"Somalia, Fed. Rep.",SOM,12461160,12869594,13339491,13806963,14348740,14916629,15452487,16030971,16651191,17271431,17801897,18358615,19009151
"Population, total",SP.POP.TOTL,South Africa,ZAF,53782567,54678791,55594838,56723537,57259551,57635162,58613001,59587885,60562381,61502603,62378410,63212384,64007187
"Population, total",SP.POP.TOTL,South Sudan,SSD,10756240,11166275,11235073,11107561,10830102,10259154,10122977,10423384,10698467,10865780,11021177,11483374,11943408
"Population, total",SP.POP.TOTL,Spain,ESP,46773055,46604197,46460733,46422303,46458139,46571232,46782011,47118501,47359424,47443821,47786102,48347910,48807137
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,21169458,20585000,20778000,20970000,21209000,21453000,21670000,21803000,21919000,22156000,22181000,22037000,21916000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,47033,47069,47089,47087,47075,47050,47008,46952,46870,46763,46709,46758,46843
"Population, total",SP.POP.TOTL,St. Lucia,LCA,172587,173369,174138,174905,175646,176342,177017,177661,178250,178522,178781,179285,179744
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,37276,37419,37450,37369,37175,36837,36012,34267,31786,29961,28870,27515,26129
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,108736,108135,107535,106960,106349,105663,104926,104167,103526,102841,102046,101323,100616
"Population, total",SP.POP.TOTL,Sudan,SDN,36923178,37785849,38823318,40024431,41259892,42714306,44230596,45548175,46789231,48066924,49383346,50042791,50448963
"Population, total",SP.POP.TOTL,Suriname,SUR,562633,569020,575373,581627,587757,593713,599513,605768,612317,617896,623164,628886,634431
"Population, total",SP.POP.TOTL,Sweden,SWE,9519374,9600379,9696110,9799186,9923085,10057698,10175214,10278887,10353442,10415811,10486941,10536632,10569709
"Population, total",SP.POP.TOTL,Switzerland,CHE,7996861,8089346,8188649,8282396,8373338,8451840,8514329,8575280,8638167,8704546,8777088,8888093,9034102
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,22759763,21666917,20273659,19424618,19193834,19224668,19577845,20353534,21049429,21628839,22462173,23594623,24672760
"Population, total",SP.POP.TOTL,Tajikistan,TJK,8014084,8216724,8425552,8643840,8865631,9085946,9307333,9529966,9749310,9966908,10182222,10389799,10590927
"Population, total",SP.POP.TOTL,Tanzania,TZA,47374260,48824128,50351512,52020962,53824013,55652890,57437145,59174891,60972798,62830412,64711821,66617606,68560157
"Population, total",SP.POP.TOTL,Thailand,THA,69436098,69845114,70216367,70540795,70859841,71160187,71376079,71522271,71641484,71727332,71735329,71702435,71668011
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1134885,1158695,1181903,1205131,1228312,1251703,1275959,1300945,1326053,1350139,1369295,1384286,1400638
"Population, total",SP.POP.TOTL,Togo,TGO,7100736,7285442,7472450,7663195,7858289,8057140,8258778,8463068,8669720,8878379,9089738,9304337,9515236
"Population, total",SP.POP.TOTL,Tonga,TON,107460,107078,106609,106095,105524,105356,105567,105669,105704,105490,105042,104597,104175
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1335194,1340557,1345343,1349667,1353895,1356633,1359193,1363985,1366725,1367558,1365805,1367510,1368333
"Population, total",SP.POP.TOTL,Tunisia,TUN,11009647,11141361,11274288,11402264,11528674,11650498,11765514,11875081,11974057,12048622,12119334,12200431,12277109
"Population, total",SP.POP.TOTL,Turkiye,TUR,75175827,76147624,77181884,78218479,79277962,80312698,81407204,82579440,83384680,84147318,84979913,85325965,85518661
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,5808546,5939341,6075283,6215770,6360041,6507061,6655524,6803944,6949912,7092043,7230193,7364438,7494498
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,32127,33653,35050,36605,38315,39913,41559,43166,44386,45243,45847,46198,46535
"Population, total",SP.POP.TOTL,Tuvalu,TUV,10934,11001,10984,10963,10930,10869,10751,10581,10399,10194,9992,9816,9646
"Population, total",SP.POP.TOTL,Uganda,UGA,34337438,35337042,36395539,37531446,38799152,40177388,41565831,42999637,44457152,45910930,47312719,48656601,50015092
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,7391448,7693031,8059440,8505237,8935095,9223225,9346701,9445785,9401038,9575152,10074977,10483751,10876981
"Population, total",SP.POP.TOTL,United Kingdom,GBR,63711000,64139000,64620000,65088000,65607000,65966000,66289000,66631000,66744000,66984000,67604000,68492000,69226000
"Population, total",SP.POP.TOTL,United States,USA,314339099,316726282,319257560,321815121,324353340,326608609,328529577,330226227,331577720,332099760,334017321,336806231,340110988
"Population, total",SP.POP.TOTL,Uruguay,URY,3335401,3345337,3356334,3368017,3379283,3388438,3394534,3397206,3398968,3396695,3390913,3388081,3386588
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,29261903,29724065,30222994,30749346,31284568,31819178,32373490,32964701,33586372,34243696,34938955,35652307,36361859
"Population, total",SP.POP.TOTL,Vanuatu,VUT,248883,254482,260240,266101,272087,278507,285259,291985,298858,305868,313046,320409,327777
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,29553826,29912198,30254079,30573972,30765720,30565323,29807592,28938098,28444077,28237826,28213017,28300854,28405543
"Population, total",SP.POP.TOTL,Viet Nam,VNM,89510356,90573104,91679578,92823254,94000117,95176977,96237319,97173776,98079191,98935098,99680655,100352192,100987686
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,108188,108041,107882,107712,107516,107281,107001,106669,106290,105870,105413,104917,104377
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,3979998,4076708,4173398,4270092,4367088,4454805,4569087,4685306,4803269,4922749,5043612,5165775,5289152
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,28433647,29312952,30226309,31159379,32109010,33090921,34085182,35111408,36134863,37140230,38222876,39390799,40583164
"Population, total",SP.POP.TOTL,Zambia,ZMB,14913629,15398997,15895315,16399089,16914423,17441320,17973569,18513839,19059395,19603607,20152938,20723965,21314956
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,13817887,14013808,14207359,14399013,14600294,14812482,15034452,15271368,15526888,15797210,16069056,16340822,16634373
"Population, total",SP.POP.TOTL,Africa Eastern and Southern,AFE,559609961,575202699,590968990,607123269,623369401,640058741,657801085,675950189,694446100,713090928,731821393,750503764,769294618
"Population, total",SP.POP.TOTL,Africa Western and Central,AFW,385360349,396030207,406992047,418127845,429454743,440882906,452195915,463365429,474569351,485920997,497387180,509398589,521764076
"Population, total",SP.POP.TOTL,Arab World,ARB,381030177,390954281,400231008,410190679,419808341,428315886,435998060,444281315,453723239,460646603,471352066,482105978,492579811
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,4228445,4257682,4286546,4314191,4341333,4366140,4407658,4443134,4459302,4479167,4497310,4519904,4539060
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,103929494,103570062,103280478,102973167,102647939,102337501,102074201,101864274,101215763,100205732,100071871,100175859,100050066
"Population, total",SP.POP.TOTL,Early-demographic dividend,EAR,3058869436,3103677284,3146800078,3190318707,3233033717,3274060446,3314245247,3355014793,3396051187,3432026092,3470644834,3511607650,3552278604
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,2249081393,2267072102,2284385542,2300844269,2317076058,2333475520,2347576325,2359771090,2369438682,2375144416,2379648196,2384479340,2388378491
"Population, total",SP.POP.TOTL,East Asia & Pacific (excluding high income),EAP,2006566431,2023850158,2040383789,2056050896,2071486140,2087238522,2100698838,2112289891,2121866294,2128553744,2133560408,2137527754,2141122258
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,1981382735,1998548872,2014960984,2030504270,2045816761,2061449949,2074796982,2086281644,2095759417,2102350702,2107261123,2111139152,2114653077
"Population, total",SP.POP.TOTL,Euro area,EMU,341100659,341639530,342228563,343180482,344132977,344810179,345864630,346496601,346986142,347207191,348700885,350292725,351125804
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,896554203,899985362,903676408,907676898,911765648,915290996,918947897,922218554,923973838,924702975,925061269,925640799,928465742
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,233914892,235983340,238114658,240232789,242410814,244533821,246659127,248863066,250660609,252189631,250840400,249053262,250485944
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,446980794,449206794,451547765,453811483,456099634,458235497,460205526,462219596,463151657,463426293,461268322,458932506,459954508
"Population, total",SP.POP.TOTL,European Union,EUU,442069839,442425741,442920819,443793218,444676652,445321060,446329890,446910453,446870959,446227358,447703403,449425965,450185396
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,831065598,851404936,871345375,890869511,910836458,931222867,951851595,973035228,994901090,1016906998,1036390026,1057033168,1081767572
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,675397557,694622934,714769441,735429414,756895035,779389964,802020674,824649053,847743308,870930036,893906294,917304254,941413026
"Population, total",SP.POP.TOTL,High income,HIC,1342428400,1350149879,1357496263,1366013616,1374284415,1380319892,1385103279,1389779202,1393490142,1391839631,1398530204,1408764584,1417871275
"Population, total",SP.POP.TOTL,IBRD only,IBD,4532140278,4582036746,4630723215,4676922961,4721753602,4765998583,4807240463,4845361414,4878606096,4905534420,4928522353,4952554878,4979720059
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,6038998236,6120535080,6201723115,6281111240,6360340293,6440236993,6518316997,6594502842,6666779721,6732972939,6795050443,6858864199,6926456321
"Population, total",SP.POP.TOTL,IDA blend,IDB,532980174,544442648,555868551,567234056,578463670,590024074,601951913,614017319,626440308,639196319,651895919,664395892,676957651
"Population, total",SP.POP.TOTL,IDA only,IDX,973877784,994055686,1015131349,1036954223,1060123021,1084214336,1109124621,1135124109,1161733317,1188242200,1214632171,1241913429,1269778611
"Population, total",SP.POP.TOTL,IDA total,IDA,1506857958,1538498334,1570999900,1604188279,1638586691,1674238410,1711076534,1749141428,1788173625,1827438519,1866528090,1906309321,1946736262
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,2209359324,2225083377,2241237489,2256276122,2271028438,2286095306,2298652685,2309164437,2316461820,2320449542,2324125644,2326636900,2328890789
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,600420316,606683307,612849401,618868462,624737786,630414986,635778081,640962372,645497651,649234493,653104795,657617663,662185950
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,534503260,540118712,545661592,551075145,556440282,561957179,567711159,573311679,578091505,581884231,585648822,589889543,594158638
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,584524334,590809938,597023419,603091701,609017063,614776664,620274430,625467307,630051021,633862610,637837815,642397939,647003746
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,896684951,918269633,940284138,962508256,985414939,1008993468,1033110314,1058013514,1083636132,1109175268,1134585604,1160824674,1187777591
"Population, total",SP.POP.TOTL,Low & middle income,LMY,5709187884,5787469694,5865317415,5941372154,6017298320,6094196886,6169917356,6243849229,6314223170,6378645843,6438272260,6499219471,6563719861
"Population, total",SP.POP.TOTL,Low income,LIC,453652889,465087882,476470767,488308267,501149314,514890519,529522043,544980983,560643073,576076618,591481496,607774703,624608098
"Population, total",SP.POP.TOTL,Lower middle income,LMC,2637101332,2679816109,2723061855,2765011526,2806590212,2847931114,2888561818,2928617292,2968398856,3006243027,3043358377,3082002881,3120983658
"Population, total",SP.POP.TOTL,"Middle East, North Africa, Afghanistan & Pakistan",MEA,653273442,667464006,680716578,694232973,707023525,718887744,730362334,742714463,756405281,767578451,782349366,797801454,813118814
"Population, total",SP.POP.TOTL,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,601566988,613151287,624564062,635352686,645837915,656767614,668447432,680490997,692532027,704458802,716508657,729077445,741690916
"Population, total",SP.POP.TOTL,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,597586990,609074579,620390664,631082594,641470827,652312809,663878345,675805691,687728758,699536053,711465045,723911670,736401764
"Population, total",SP.POP.TOTL,Middle income,MIC,5255534995,5322381812,5388846648,5453063887,5516149006,5579306367,5640395313,5698868246,5753580097,5802569225,5846790764,5891444768,5939111763
"Population, total",SP.POP.TOTL,North America,NAC,349116140,351870848,354755155,357583083,360527592,363217262,365666028,367908829,369670740,370404272,373018004,376954413,381464223
"Population, total",SP.POP.TOTL,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,OECD members,OED,1307733583,1315427979,1323459714,1331675197,1340142055,1348127258,1356470975,1364155119,1369327995,1371811773,1379097485,1388472514,1396914190
"Population, total",SP.POP.TOTL,Other small states,OSS,11346082,11466589,11591200,11722398,11851918,11989367,12135267,12281907,12417333,12541889,12699005,12842214,12969162
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,2351924,2382931,2414338,2445989,2477794,2509999,2542009,2568656,2595522,2625493,2656049,2689224,2722467
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,1084193277,1088424167,1093025476,1097890139,1102966925,1107161559,1111377470,1114907717,1117025276,1116609473,1117926537,1121892872,1128430188
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,798002725,822138419,846420736,870587800,895239872,920568701,946317177,972302503,998624261,1024960313,1051201551,1078224044,1105951788
"Population, total",SP.POP.TOTL,Small states,SST,17926451,18107202,18292084,18482578,18671045,18865506,19084934,19293697,19472157,19646549,19852364,20051342,20230689
"Population, total",SP.POP.TOTL,South Asia,SAS,1483553073,1501661991,1519839246,1537370078,1555111864,1572520427,1589164714,1605412986,1621073417,1634785356,1648009565,1662580579,1677384532
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1483553073,1501661991,1519839246,1537370078,1555111864,1572520427,1589164714,1605412986,1621073417,1634785356,1648009565,1662580579,1677384532
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,944970310,971232906,997961037,1025251114,1052824144,1080941647,1109997000,1139315618,1169015451,1199011925,1229208573,1259902353,1291058694
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,849083240,872704206,896754068,921290560,946011305,971179323,997236086,1023480610,1049999318,1076774079,1103704408,1131090888,1158877573
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,944970310,971232906,997961037,1025251114,1052824144,1080941647,1109997000,1139315618,1169015451,1199011925,1229208573,1259902353,1291058694
"Population, total",SP.POP.TOTL,Upper middle income,UMC,2618433663,2642565703,2665784793,2688052361,2709558794,2731375253,2751833495,2770250954,2785181241,2796326198,2803432387,2809441887,2818128105
"Population, total",SP.POP.TOTL,World,WLD,7176968877,7265970522,7354183367,7441826877,7529066617,7614748582,7697492379,7778303912,7855075060,7920861888,7990399768,8064976601,8142056446
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,
Last Updated: 10/07/2025,,,,,,,,,,,,,,,,
